story-id	wave	status	commit-sha	blocked-on	default-if-silent
15.3(a)	1	done	5e44715	-	-
14.1	2	done	bff1467	-	14.1-SUBPROC:A, 14.1-VERSIONING:B, 14.1-ROUTES:A
15.1	3	done	4754df1	-	-
12.5	4a	done	4f55346	-	-
15.2	4b	done	0152d3a	-	-
15.4	5	done	0287f4e	-	-
15.5	5	blocked	11b24fe	rotate-credentials	-
12.6	10	done	bb1fb4d	-	-
13.1	7	done	b8539ce	-	E13-D1:b, E13-D2:new, E13-D3:transfer, E13-D4:mutual, E13-D5:both
13.2	8	done	f30c8ef	-	E13-D11:c, E13-D12:mark, E13-D13:a, E13-D14:b, E13-D15:one
15.3(b)	9	done	8b0116a	-	-
14.5	-	decided	-	14.5-PRV10:B	-
